ocel:eid,ocel:timestamp,ocel:activity,ocel:type:orders,ocel:type:customers,ocel:type:items,ocel:type:products,ocel:type:employees,ocel:type:packages
pick_i-880019,2023-04-05 17:05:51+00:00,pick item,,,['i-880019'],['iPad Pro'],['Leah Tacke genannt Unterberg'],
pick_i-880018,2023-04-05 17:31:21+00:00,pick item,,,['i-880018'],['iPhone 8'],['Mahsa Bafrani'],
place_o-990008,2023-04-05 17:31:49+00:00,place order,['o-990008'],['Golden Fleece Textiles S.A.R.L.'],"['i-880024', 'i-880025']","['Kindle Paperwhite', 'Echo Show 5']",,
pick_i-880022,2023-04-05 17:42:11+00:00,pick item,,,['i-880022'],['MacBook Air'],['Detlef Wetzeler'],
pick_i-880021,2023-04-05 17:54:53+00:00,pick item,,,['i-880021'],['iPhone 11'],['Marco Pegoraro'],
pick_i-880020,2023-04-05 17:57:45+00:00,pick item,,,['i-880020'],['Echo Dot'],['Christopher Schwanen'],
pick_i-880024,2023-04-05 21:42:57+00:00,pick item,,,['i-880024'],['Kindle Paperwhite'],['Nina Graves'],
pick_i-880025,2023-04-05 21:56:05+00:00,pick item,,,['i-880025'],['Echo Show 5'],['Detlef Wetzeler'],
reorder_i-880009,2023-04-05 22:39:37+00:00,reorder item,,,['i-880009'],['Echo'],['Christopher Schwanen'],
confirm_o-990004,2023-04-06 00:19:54+00:00,confirm order,['o-990004'],['Vesta Fashion House GmbH'],['i-880009'],['Echo'],['Jan Niklas Adams'],
pay_o-990003,2023-04-06 00:27:33+00:00,pay order,['o-990003'],,"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",,
confirm_o-990005,2023-04-06 01:08:19+00:00,confirm order,['o-990005'],['Golden Fleece Textiles S.A.R.L.'],"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",['Mara Nitschke'],
reorder_i-880015,2023-04-06 01:10:13+00:00,reorder item,,,['i-880015'],['Echo'],['Christopher Schwanen'],
out_of_stock_i-880023,2023-04-06 01:45:49+00:00,item out of stock,,,['i-880023'],['iPhone 11 Pro'],['Mahsa Bafrani'],
pick_i-880009,2023-04-06 05:22:31+00:00,pick item,,,['i-880009'],['Echo'],['Leah Tacke genannt Unterberg'],
pick_i-880015,2023-04-06 07:33:29+00:00,pick item,,,['i-880015'],['Echo'],['Leah Tacke genannt Unterberg'],
place_o-990009,2023-04-06 08:13:07+00:00,place order,['o-990009'],['Eastern Oak Insurance Zrt.'],"['i-880026', 'i-880027', 'i-880028']","['Fire Stick', 'iPhone 11', 'iPad Air']",,
reorder_i-880023,2023-04-06 11:57:21+00:00,reorder item,,,['i-880023'],['iPhone 11 Pro'],['Christopher Schwanen'],
pick_i-880026,2023-04-06 12:21:37+00:00,pick item,,,['i-880026'],['Fire Stick'],['Marco Pegoraro'],
pick_i-880028,2023-04-06 12:34:29+00:00,pick item,,,['i-880028'],['iPad Air'],['Marco Pegoraro'],
pick_i-880027,2023-04-06 12:49:43+00:00,pick item,,,['i-880027'],['iPhone 11'],['Christopher Schwanen'],
place_o-990010,2023-04-06 13:09:59+00:00,place order,['o-990010'],['Carpathian Financial Services plc'],"['i-880029', 'i-880030', 'i-880031']","['MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5']",,
pay_o-990001,2023-04-06 16:55:07+00:00,pay order,['o-990001'],,"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
pick_i-880030,2023-04-06 17:19:33+00:00,pick item,,,['i-880030'],['iPhone 11 Pro'],['Christopher Schwanen'],
pick_i-880031,2023-04-06 17:20:31+00:00,pick item,,,['i-880031'],['Echo Show 5'],['Marco Pegoraro'],
place_o-990011,2023-04-06 17:40:17+00:00,place order,['o-990011'],['Nordica Systems GmbH'],"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['MacBook Pro', 'Echo', 'iPhone X', 'iPhone 11']",,
pick_i-880023,2023-04-06 18:11:39+00:00,pick item,,,['i-880023'],['iPhone 11 Pro'],['Benedikt Knopp'],
pick_i-880032,2023-04-06 19:45:55+00:00,pick item,,,['i-880032'],['MacBook Pro'],['Marco Pegoraro'],
out_of_stock_i-880029,2023-04-06 19:47:15+00:00,item out of stock,,,['i-880029'],['MacBook Pro'],['Benedikt Knopp'],
confirm_o-990006,2023-04-06 19:59:04+00:00,confirm order,['o-990006'],['Danube Pharmaceuticals BV'],"['i-880016', 'i-880017']","['iPad mini', 'Kindle']",['Mara Nitschke'],
pick_i-880035,2023-04-06 19:59:21+00:00,pick item,,,['i-880035'],['iPhone 11'],['Detlef Wetzeler'],
confirm_o-990007,2023-04-06 22:15:30+00:00,confirm order,['o-990007'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022', 'i-880023']","['iPhone 8', 'iPad Pro', 'Echo Dot', 'iPhone 11', 'MacBook Air', 'iPhone 11 Pro']",['Wil van der Aalst'],
pick_i-880033,2023-04-06 22:23:29+00:00,pick item,,,['i-880033'],['Echo'],['Marco Pegoraro'],
pick_i-880034,2023-04-06 22:30:47+00:00,pick item,,,['i-880034'],['iPhone X'],['Mahsa Bafrani'],
pay_o-990004,2023-04-07 01:22:28+00:00,pay order,['o-990004'],,['i-880009'],['Echo'],,
confirm_o-990008,2023-04-07 02:07:01+00:00,confirm order,['o-990008'],['Golden Fleece Textiles S.A.R.L.'],"['i-880024', 'i-880025']","['Kindle Paperwhite', 'Echo Show 5']",['Mara Nitschke'],
pay_o-990005,2023-04-07 04:06:47+00:00,pay order,['o-990005'],,"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",,
reorder_i-880029,2023-04-07 07:14:25+00:00,reorder item,,,['i-880029'],['MacBook Pro'],['Nina Graves'],
place_o-990012,2023-04-07 08:53:28+00:00,place order,['o-990012'],['Nordica Systems GmbH'],"['i-880036', 'i-880037']","['Echo Dot', 'iPhone 8']",,
pick_i-880036,2023-04-07 11:20:06+00:00,pick item,,,['i-880036'],['Echo Dot'],['Mahsa Bafrani'],
place_o-990013,2023-04-07 14:10:31+00:00,place order,['o-990013'],['Golden Fleece Textiles S.A.R.L.'],"['i-880038', 'i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPad mini', 'Fire Stick', 'iPad mini', 'Fire Stick 4K', 'Kindle', 'Kindle Paperwhite', 'iPad Air', 'MacBook Air']",,
pick_i-880037,2023-04-07 15:51:16+00:00,pick item,,,['i-880037'],['iPhone 8'],['Detlef Wetzeler'],
pick_i-880038,2023-04-07 16:23:23+00:00,pick item,,,['i-880038'],['iPad mini'],['Mahsa Bafrani'],
pick_i-880041,2023-04-07 16:28:11+00:00,pick item,,,['i-880041'],['Fire Stick 4K'],['Nina Graves'],
pick_i-880029,2023-04-07 16:34:34+00:00,pick item,,,['i-880029'],['MacBook Pro'],['Christopher Schwanen'],
place_o-990014,2023-04-07 18:41:21+00:00,place order,['o-990014'],['Eastern Oak Insurance Zrt.'],"['i-880046', 'i-880047', 'i-880048', 'i-880049', 'i-880050']","['iPhone X', 'iPhone 11 Pro', 'Kindle Paperwhite', 'Fire Stick 4K', 'Kindle']",,
pay_o-990002,2023-04-07 19:15:41+00:00,pay order,['o-990002'],,['i-880004'],['Fire Stick 4K'],,
pick_i-880050,2023-04-07 20:41:43+00:00,pick item,,,['i-880050'],['Kindle'],['Benedikt Knopp'],
pick_i-880040,2023-04-07 20:42:52+00:00,pick item,,,['i-880040'],['iPad mini'],['Marco Pegoraro'],
pick_i-880047,2023-04-07 20:43:53+00:00,pick item,,,['i-880047'],['iPhone 11 Pro'],['Marco Pegoraro'],
pick_i-880042,2023-04-07 21:24:10+00:00,pick item,,,['i-880042'],['Kindle'],['Detlef Wetzeler'],
pick_i-880045,2023-04-07 21:26:37+00:00,pick item,,,['i-880045'],['MacBook Air'],['Benedikt Knopp'],
confirm_o-990009,2023-04-07 21:38:30+00:00,confirm order,['o-990009'],['Eastern Oak Insurance Zrt.'],"['i-880026', 'i-880027', 'i-880028']","['Fire Stick', 'iPhone 11', 'iPad Air']",['Mara Nitschke'],
out_of_stock_i-880044,2023-04-07 21:39:28+00:00,item out of stock,,,['i-880044'],['iPad Air'],['Benedikt Knopp'],
confirm_o-990010,2023-04-07 22:19:50+00:00,confirm order,['o-990010'],['Carpathian Financial Services plc'],"['i-880029', 'i-880030', 'i-880031']","['MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5']",['Istvan Koren'],
create_p-660001,2023-04-08 01:00:00+00:00,create package,,,"['i-880006', 'i-880005', 'i-880007', 'i-880008']","['MacBook Air', 'iPhone X', 'Echo Plus', 'Echo Show 5']",['Nina Graves'],['p-660001']
pick_i-880048,2023-04-08 01:02:06+00:00,pick item,,,['i-880048'],['Kindle Paperwhite'],['Detlef Wetzeler'],
pick_i-880046,2023-04-08 01:15:03+00:00,pick item,,,['i-880046'],['iPhone X'],['Marco Pegoraro'],
pick_i-880049,2023-04-08 02:00:30+00:00,pick item,,,['i-880049'],['Fire Stick 4K'],['Nina Graves'],
pay_o-990007,2023-04-08 02:13:12+00:00,pay order,['o-990007'],,"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022', 'i-880023']","['iPhone 8', 'iPad Pro', 'Echo Dot', 'iPhone 11', 'MacBook Air', 'iPhone 11 Pro']",,
confirm_o-990011,2023-04-08 02:31:12+00:00,confirm order,['o-990011'],['Nordica Systems GmbH'],"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['MacBook Pro', 'Echo', 'iPhone X', 'iPhone 11']",['Wil van der Aalst'],
reminder_o-990006_3,2023-04-08 04:29:50+00:00,payment reminder,['o-990006'],,"['i-880016', 'i-880017']","['iPad mini', 'Kindle']",,
send_p-660001,2023-04-08 05:38:27+00:00,send package,,,"['i-880006', 'i-880005', 'i-880007', 'i-880008']","['MacBook Air', 'iPhone X', 'Echo Plus', 'Echo Show 5']","['Majid Rafiei', 'Leah Tacke genannt Unterberg']",['p-660001']
reorder_i-880044,2023-04-08 08:08:40+00:00,reorder item,,,['i-880044'],['iPad Air'],['Nina Graves'],
out_of_stock_i-880043,2023-04-08 11:06:16+00:00,item out of stock,,,['i-880043'],['Kindle Paperwhite'],['Marco Pegoraro'],
out_of_stock_i-880039,2023-04-08 11:36:01+00:00,item out of stock,,,['i-880039'],['Fire Stick'],['Mahsa Bafrani'],
pay_o-990009,2023-04-08 11:39:30+00:00,pay order,['o-990009'],,"['i-880026', 'i-880027', 'i-880028']","['Fire Stick', 'iPhone 11', 'iPad Air']",,
pick_i-880044,2023-04-08 14:42:16+00:00,pick item,,,['i-880044'],['iPad Air'],['Detlef Wetzeler'],
reminder_o-990010_4,2023-04-08 14:58:40+00:00,payment reminder,['o-990010'],,"['i-880029', 'i-880030', 'i-880031']","['MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5']",,
pay_o-990008,2023-04-08 19:11:04+00:00,pay order,['o-990008'],,"['i-880024', 'i-880025']","['Kindle Paperwhite', 'Echo Show 5']",,
reminder_o-990011_5,2023-04-08 20:09:56+00:00,payment reminder,['o-990011'],,"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['MacBook Pro', 'Echo', 'iPhone X', 'iPhone 11']",,
confirm_o-990012,2023-04-08 20:18:26+00:00,confirm order,['o-990012'],['Nordica Systems GmbH'],"['i-880036', 'i-880037']","['Echo Dot', 'iPhone 8']",['Wil van der Aalst'],
reorder_i-880039,2023-04-08 22:48:07+00:00,reorder item,,,['i-880039'],['Fire Stick'],['Benedikt Knopp'],
confirm_o-990013,2023-04-09 03:48:12+00:00,confirm order,['o-990013'],['Golden Fleece Textiles S.A.R.L.'],"['i-880038', 'i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPad mini', 'Fire Stick', 'iPad mini', 'Fire Stick 4K', 'Kindle', 'Kindle Paperwhite', 'iPad Air', 'MacBook Air']",['Jan Niklas Adams'],
confirm_o-990014,2023-04-09 05:17:06+00:00,confirm order,['o-990014'],['Eastern Oak Insurance Zrt.'],"['i-880046', 'i-880047', 'i-880048', 'i-880049', 'i-880050']","['iPhone X', 'iPhone 11 Pro', 'Kindle Paperwhite', 'Fire Stick 4K', 'Kindle']",['Mara Nitschke'],
pay_o-990006,2023-04-09 05:57:18+00:00,pay order,['o-990006'],,"['i-880016', 'i-880017']","['iPad mini', 'Kindle']",,
reorder_i-880043,2023-04-09 08:18:52+00:00,reorder item,,,['i-880043'],['Kindle Paperwhite'],['Mahsa Bafrani'],
pick_i-880039,2023-04-09 08:21:31+00:00,pick item,,,['i-880039'],['Fire Stick'],['Benedikt Knopp'],
reminder_o-990011_6,2023-04-09 13:06:33+00:00,payment reminder,['o-990011'],,"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['MacBook Pro', 'Echo', 'iPhone X', 'iPhone 11']",,
place_o-990015,2023-04-09 14:15:59+00:00,place order,['o-990015'],['Pantheon Art Gallery Kft.'],"['i-880051', 'i-880052', 'i-880053', 'i-880054']","['Kindle', 'iPhone 8', 'MacBook Pro', 'iPad']",,
pick_i-880043,2023-04-09 15:29:28+00:00,pick item,,,['i-880043'],['Kindle Paperwhite'],['Nina Graves'],
deliver_p-660001,2023-04-09 15:52:57+00:00,package delivered,,,"['i-880006', 'i-880005', 'i-880007', 'i-880008']","['MacBook Air', 'iPhone X', 'Echo Plus', 'Echo Show 5']",['Majid Rafiei'],['p-660001']
pick_i-880051,2023-04-09 18:34:25+00:00,pick item,,,['i-880051'],['Kindle'],['Benedikt Knopp'],
pick_i-880052,2023-04-09 18:50:51+00:00,pick item,,,['i-880052'],['iPhone 8'],['Christopher Schwanen'],
pick_i-880054,2023-04-09 20:16:05+00:00,pick item,,,['i-880054'],['iPad'],['Marco Pegoraro'],
reminder_o-990010_7,2023-04-10 01:30:54+00:00,payment reminder,['o-990010'],,"['i-880029', 'i-880030', 'i-880031']","['MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5']",,
pay_o-990012,2023-04-10 11:33:50+00:00,pay order,['o-990012'],,"['i-880036', 'i-880037']","['Echo Dot', 'iPhone 8']",,
place_o-990016,2023-04-10 11:37:17+00:00,place order,['o-990016'],['Celtica Green Farms Oy'],"['i-880055', 'i-880056']","['iPhone 11', 'Echo Show 5']",,
out_of_stock_i-880053,2023-04-10 11:59:59+00:00,item out of stock,,,['i-880053'],['MacBook Pro'],['Marco Pegoraro'],
pick_i-880056,2023-04-10 15:39:35+00:00,pick item,,,['i-880056'],['Echo Show 5'],['Christopher Schwanen'],
pick_i-880055,2023-04-10 15:58:47+00:00,pick item,,,['i-880055'],['iPhone 11'],['Christopher Schwanen'],
place_o-990017,2023-04-10 16:34:53+00:00,place order,['o-990017'],['Baltic Wave Energies Ltd.'],"['i-880057', 'i-880058', 'i-880059']","['iPhone 11', 'Fire Stick 4K', 'Echo Dot']",,
create_p-660002,2023-04-10 20:58:57+00:00,create package,,,"['i-880057', 'i-880004']","['iPhone 11', 'Fire Stick 4K']",['Nina Graves'],['p-660002']
pick_i-880057,2023-04-10 20:58:57+00:00,pick item,,,['i-880057'],['iPhone 11'],['Marco Pegoraro'],
pick_i-880058,2023-04-10 21:03:03+00:00,pick item,,,['i-880058'],['Fire Stick 4K'],['Christopher Schwanen'],
create_p-660003,2023-04-10 21:22:33+00:00,create package,,,"['i-880002', 'i-880001', 'i-880003']","['iPad Air', 'iPad mini', 'iPad Pro']",['Christopher Schwanen'],['p-660003']
pick_i-880059,2023-04-10 21:22:33+00:00,pick item,,,['i-880059'],['Echo Dot'],['Nina Graves'],
pay_o-990014,2023-04-10 22:39:06+00:00,pay order,['o-990014'],,"['i-880046', 'i-880047', 'i-880048', 'i-880049', 'i-880050']","['iPhone X', 'iPhone 11 Pro', 'Kindle Paperwhite', 'Fire Stick 4K', 'Kindle']",,
place_o-990018,2023-04-10 23:25:17+00:00,place order,['o-990018'],['Carpathian Financial Services plc'],"['i-880060', 'i-880061', 'i-880062']","['iPad mini', 'Echo Studio', 'iPhone 11 Pro']",,
reorder_i-880053,2023-04-10 23:47:27+00:00,reorder item,,,['i-880053'],['MacBook Pro'],['Christopher Schwanen'],
pick_i-880062,2023-04-11 01:34:03+00:00,pick item,,,['i-880062'],['iPhone 11 Pro'],['Nina Graves'],
send_p-660002,2023-04-11 01:37:15+00:00,send package,,,"['i-880057', 'i-880004']","['iPhone 11', 'Fire Stick 4K']","['Eduardo Goulart Rocha', 'Leah Tacke genannt Unterberg']",['p-660002']
send_p-660003,2023-04-11 02:10:18+00:00,send package,,,"['i-880002', 'i-880001', 'i-880003']","['iPad Air', 'iPad mini', 'iPad Pro']","['Viki Peeva', 'Nina Graves']",['p-660003']
pick_i-880061,2023-04-11 03:28:25+00:00,pick item,,,['i-880061'],['Echo Studio'],['Christopher Schwanen'],
confirm_o-990015,2023-04-11 03:41:35+00:00,confirm order,['o-990015'],['Pantheon Art Gallery Kft.'],"['i-880051', 'i-880052', 'i-880053', 'i-880054']","['Kindle', 'iPhone 8', 'MacBook Pro', 'iPad']",['Istvan Koren'],
create_p-660004,2023-04-11 06:39:43+00:00,create package,,,"['i-880014', 'i-880013', 'i-880010', 'i-880011', 'i-880024', 'i-880025', 'i-880015', 'i-880038', 'i-880041', 'i-880040', 'i-880042', 'i-880045', 'i-880044', 'i-880039', 'i-880043', 'i-880012']","['iPhone 11 Pro', 'Fire Stick 4K', 'Fire Stick 4K', 'iPad mini', 'Kindle Paperwhite', 'Echo Show 5', 'Echo', 'iPad mini', 'Fire Stick 4K', 'iPad mini', 'Kindle', 'MacBook Air', 'iPad Air', 'Fire Stick', 'Kindle Paperwhite', 'iPad Air']",['Christopher Schwanen'],['p-660004']
pick_i-880053,2023-04-11 06:39:43+00:00,pick item,,,['i-880053'],['MacBook Pro'],['Nina Graves'],
reminder_o-990013_8,2023-04-11 07:54:24+00:00,payment reminder,['o-990013'],,"['i-880038', 'i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPad mini', 'Fire Stick', 'iPad mini', 'Fire Stick 4K', 'Kindle', 'Kindle Paperwhite', 'iPad Air', 'MacBook Air']",,
send_p-660004,2023-04-11 11:26:42+00:00,send package,,,"['i-880014', 'i-880013', 'i-880010', 'i-880011', 'i-880024', 'i-880025', 'i-880015', 'i-880038', 'i-880041', 'i-880040', 'i-880042', 'i-880045', 'i-880044', 'i-880039', 'i-880043', 'i-880012']","['iPhone 11 Pro', 'Fire Stick 4K', 'Fire Stick 4K', 'iPad mini', 'Kindle Paperwhite', 'Echo Show 5', 'Echo', 'iPad mini', 'Fire Stick 4K', 'iPad mini', 'Kindle', 'MacBook Air', 'iPad Air', 'Fire Stick', 'Kindle Paperwhite', 'iPad Air']","['Yisong Zhang', 'Benedikt Knopp']",['p-660004']
place_o-990019,2023-04-11 12:24:07+00:00,place order,['o-990019'],['Iberian Sun Solaridades SA'],"['i-880063', 'i-880064', 'i-880065', 'i-880066']","['Kindle', 'iPhone 11 Pro', 'Kindle', 'iPad Pro']",,
out_of_stock_i-880060,2023-04-11 14:23:37+00:00,item out of stock,,,['i-880060'],['iPad mini'],['Benedikt Knopp'],
pay_o-990011,2023-04-11 16:20:03+00:00,pay order,['o-990011'],,"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['MacBook Pro', 'Echo', 'iPhone X', 'iPhone 11']",,
pick_i-880065,2023-04-11 16:29:37+00:00,pick item,,,['i-880065'],['Kindle'],['Detlef Wetzeler'],
pick_i-880064,2023-04-11 16:29:43+00:00,pick item,,,['i-880064'],['iPhone 11 Pro'],['Marco Pegoraro'],
place_o-990020,2023-04-11 17:08:33+00:00,place order,['o-990020'],['AlpenTech Innovations AG'],['i-880067'],['Echo Plus'],,
pick_i-880066,2023-04-11 17:14:03+00:00,pick item,,,['i-880066'],['iPad Pro'],['Benedikt Knopp'],
pick_i-880063,2023-04-11 19:15:22+00:00,pick item,,,['i-880063'],['Kindle'],['Benedikt Knopp'],
pick_i-880067,2023-04-11 19:26:58+00:00,pick item,,,['i-880067'],['Echo Plus'],['Mahsa Bafrani'],
reorder_i-880060,2023-04-11 20:28:07+00:00,reorder item,,,['i-880060'],['iPad mini'],['Leah Tacke genannt Unterberg'],
pick_i-880060,2023-04-11 23:46:20+00:00,pick item,,,['i-880060'],['iPad mini'],['Marco Pegoraro'],
confirm_o-990016,2023-04-12 00:23:42+00:00,confirm order,['o-990016'],['Celtica Green Farms Oy'],"['i-880055', 'i-880056']","['iPhone 11', 'Echo Show 5']",['Istvan Koren'],
pay_o-990010,2023-04-12 02:59:40+00:00,pay order,['o-990010'],,"['i-880029', 'i-880030', 'i-880031']","['MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5']",,
place_o-990021,2023-04-12 03:57:11+00:00,place order,['o-990021'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880068', 'i-880069']","['iPad Air', 'Echo']",,
confirm_o-990017,2023-04-12 04:59:03+00:00,confirm order,['o-990017'],['Baltic Wave Energies Ltd.'],"['i-880057', 'i-880058', 'i-880059']","['iPhone 11', 'Fire Stick 4K', 'Echo Dot']",['Wil van der Aalst'],
pay_o-990015,2023-04-12 05:21:29+00:00,pay order,['o-990015'],,"['i-880051', 'i-880052', 'i-880053', 'i-880054']","['Kindle', 'iPhone 8', 'MacBook Pro', 'iPad']",,
pick_i-880069,2023-04-12 05:57:44+00:00,pick item,,,['i-880069'],['Echo'],['Mahsa Bafrani'],
deliver_p-660003,2023-04-12 08:39:28+00:00,package delivered,,,"['i-880002', 'i-880001', 'i-880003']","['iPad Air', 'iPad mini', 'iPad Pro']",['Viki Peeva'],['p-660003']
confirm_o-990018,2023-04-12 10:05:17+00:00,confirm order,['o-990018'],['Carpathian Financial Services plc'],"['i-880060', 'i-880061', 'i-880062']","['iPad mini', 'Echo Studio', 'iPhone 11 Pro']",['Jan Niklas Adams'],
out_of_stock_i-880068,2023-04-12 11:23:46+00:00,item out of stock,,,['i-880068'],['iPad Air'],['Nina Graves'],
place_o-990022,2023-04-12 13:23:13+00:00,place order,['o-990022'],['Pantheon Art Gallery Kft.'],"['i-880070', 'i-880071', 'i-880072', 'i-880073', 'i-880074', 'i-880075', 'i-880076', 'i-880077']","['MacBook Pro', 'iPhone 8', 'iPhone 11 Pro', 'iPad Air', 'Echo Studio', 'Echo', 'iPad', 'MacBook Air']",,
pick_i-880076,2023-04-12 15:26:33+00:00,pick item,,,['i-880076'],['iPad'],['Nina Graves'],
pick_i-880071,2023-04-12 15:39:43+00:00,pick item,,,['i-880071'],['iPhone 8'],['Benedikt Knopp'],
pick_i-880075,2023-04-12 15:48:10+00:00,pick item,,,['i-880075'],['Echo'],['Christopher Schwanen'],
