ocel:eid,ocel:timestamp,ocel:activity,ocel:type:orders,ocel:type:customers,ocel:type:items,ocel:type:products,ocel:type:employees,ocel:type:packages
place_o-990008,2023-04-05 17:31:49+00:00,place order,['o-990008'],['Pantheon Art Gallery Kft.'],"['i-880023', 'i-880024']","['Fire Stick 4K', 'Fire Stick 4K']",,
pick_i-880018,2023-04-05 19:45:45+00:00,pick item,,,['i-880018'],['iPad'],['Mahsa Bafrani'],
pick_i-880020,2023-04-05 19:45:45+00:00,pick item,,,['i-880020'],['iPhone 8'],['Nina Graves'],
pick_i-880021,2023-04-05 19:45:45+00:00,pick item,,,['i-880021'],['iPad Air'],['Detlef Wetzeler'],
pick_i-880022,2023-04-05 19:45:45+00:00,pick item,,,['i-880022'],['iPad Pro'],['Detlef Wetzeler'],
pick_i-880023,2023-04-05 21:58:29+00:00,pick item,,,['i-880023'],['Fire Stick 4K'],['Marco Pegoraro'],
pick_i-880024,2023-04-05 21:58:29+00:00,pick item,,,['i-880024'],['Fire Stick 4K'],['Detlef Wetzeler'],
confirm_o-990004,2023-04-05 23:14:10+00:00,confirm order,['o-990004'],['Vesta Fashion House GmbH'],['i-880009'],['Echo'],['Jan Niklas Adams'],
pay_o-990003,2023-04-06 00:08:03+00:00,pay order,['o-990003'],,"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",,
confirm_o-990005,2023-04-06 04:05:19+00:00,confirm order,['o-990005'],['Golden Fleece Textiles S.A.R.L.'],"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",['Mara Nitschke'],
reorder_i-880015,2023-04-06 05:24:58+00:00,reorder item,,,['i-880015'],['Echo'],['Marco Pegoraro'],
reorder_i-880009,2023-04-06 05:24:58+00:00,reorder item,,,['i-880009'],['Echo'],['Benedikt Knopp'],
place_o-990009,2023-04-06 08:13:07+00:00,place order,['o-990009'],['Riviera Robotics SAS'],"['i-880025', 'i-880026', 'i-880027', 'i-880028', 'i-880029', 'i-880030', 'i-880031']","['iPhone 11 Pro', 'iPad Pro', 'Echo Plus', 'Echo', 'Echo Show 5', 'Fire Stick', 'Echo Studio']",,
pick_i-880009,2023-04-06 08:44:58+00:00,pick item,,,['i-880009'],['Echo'],['Marco Pegoraro'],
out_of_stock_i-880019,2023-04-06 09:55:45+00:00,item out of stock,,,['i-880019'],['iPad Air'],['Christopher Schwanen'],
pick_i-880015,2023-04-06 12:04:58+00:00,pick item,,,['i-880015'],['Echo'],['Marco Pegoraro'],
pick_i-880031,2023-04-06 12:39:47+00:00,pick item,,,['i-880031'],['Echo Studio'],['Marco Pegoraro'],
pick_i-880030,2023-04-06 12:39:47+00:00,pick item,,,['i-880030'],['Fire Stick'],['Christopher Schwanen'],
pick_i-880027,2023-04-06 12:39:47+00:00,pick item,,,['i-880027'],['Echo Plus'],['Marco Pegoraro'],
pick_i-880028,2023-04-06 12:39:47+00:00,pick item,,,['i-880028'],['Echo'],['Nina Graves'],
pick_i-880026,2023-04-06 12:39:47+00:00,pick item,,,['i-880026'],['iPad Pro'],['Benedikt Knopp'],
pick_i-880029,2023-04-06 12:39:47+00:00,pick item,,,['i-880029'],['Echo Show 5'],['Benedikt Knopp'],
pick_i-880025,2023-04-06 12:39:47+00:00,pick item,,,['i-880025'],['iPhone 11 Pro'],['Mahsa Bafrani'],
place_o-990010,2023-04-06 13:09:59+00:00,place order,['o-990010'],['Celtica Green Farms Oy'],"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['Fire Stick', 'iPhone 11', 'iPhone 8', 'Kindle']",,
pay_o-990001,2023-04-06 15:08:18+00:00,pay order,['o-990001'],,"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
confirm_o-990006,2023-04-06 17:08:16+00:00,confirm order,['o-990006'],['Iberian Sun Solaridades SA'],"['i-880016', 'i-880017']","['Kindle Paperwhite', 'Kindle Paperwhite']",['Christine von Dobbert'],
pick_i-880032,2023-04-06 17:36:39+00:00,pick item,,,['i-880032'],['Fire Stick'],['Marco Pegoraro'],
pick_i-880033,2023-04-06 17:36:39+00:00,pick item,,,['i-880033'],['iPhone 11'],['Benedikt Knopp'],
pick_i-880035,2023-04-06 17:36:39+00:00,pick item,,,['i-880035'],['Kindle'],['Mahsa Bafrani'],
place_o-990011,2023-04-06 17:40:17+00:00,place order,['o-990011'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880036', 'i-880037', 'i-880038']","['MacBook Pro', 'Echo Studio', 'Kindle Paperwhite']",,
pay_o-990005,2023-04-06 17:58:39+00:00,pay order,['o-990005'],,"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",,
reorder_i-880019,2023-04-06 21:02:25+00:00,reorder item,,,['i-880019'],['iPad Air'],['Benedikt Knopp'],
pick_i-880037,2023-04-06 22:06:57+00:00,pick item,,,['i-880037'],['Echo Studio'],['Marco Pegoraro'],
pick_i-880036,2023-04-06 22:06:57+00:00,pick item,,,['i-880036'],['MacBook Pro'],['Mahsa Bafrani'],
confirm_o-990007,2023-04-06 23:49:05+00:00,confirm order,['o-990007'],['SwissPeak Timepieces AG'],"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022']","['iPad', 'iPad Air', 'iPhone 8', 'iPad Air', 'iPad Pro']",['Christine von Dobbert'],
out_of_stock_i-880034,2023-04-07 03:03:19+00:00,item out of stock,,,['i-880034'],['iPhone 8'],['Nina Graves'],
pick_i-880019,2023-04-07 03:42:25+00:00,pick item,,,['i-880019'],['iPad Air'],['Detlef Wetzeler'],
confirm_o-990008,2023-04-07 04:15:09+00:00,confirm order,['o-990008'],['Pantheon Art Gallery Kft.'],"['i-880023', 'i-880024']","['Fire Stick 4K', 'Fire Stick 4K']",['Istvan Koren'],
pay_o-990006,2023-04-07 07:01:36+00:00,pay order,['o-990006'],,"['i-880016', 'i-880017']","['Kindle Paperwhite', 'Kindle Paperwhite']",,
out_of_stock_i-880038,2023-04-07 07:33:37+00:00,item out of stock,,,['i-880038'],['Kindle Paperwhite'],['Mahsa Bafrani'],
reminder_o-990004_2,2023-04-07 08:34:10+00:00,payment reminder,['o-990004'],,['i-880009'],['Echo'],,
reorder_i-880034,2023-04-07 08:36:39+00:00,reorder item,,,['i-880034'],['iPhone 8'],['Detlef Wetzeler'],
place_o-990012,2023-04-07 08:53:28+00:00,place order,['o-990012'],['SwissPeak Timepieces AG'],"['i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPhone 8', 'iPhone 11', 'Echo Dot', 'Echo Show 8', 'MacBook Pro', 'iPhone X', 'Echo Show 5']",,
pick_i-880045,2023-04-07 11:06:48+00:00,pick item,,,['i-880045'],['Echo Show 5'],['Leah Tacke genannt Unterberg'],
pick_i-880041,2023-04-07 11:06:48+00:00,pick item,,,['i-880041'],['Echo Dot'],['Detlef Wetzeler'],
pick_i-880039,2023-04-07 13:20:08+00:00,pick item,,,['i-880039'],['iPhone 8'],['Mahsa Bafrani'],
pick_i-880043,2023-04-07 13:20:08+00:00,pick item,,,['i-880043'],['MacBook Pro'],['Nina Graves'],
pay_o-990007,2023-04-07 13:42:25+00:00,pay order,['o-990007'],,"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022']","['iPad', 'iPad Air', 'iPhone 8', 'iPad Air', 'iPad Pro']",,
place_o-990013,2023-04-07 14:10:31+00:00,place order,['o-990013'],['Vesta Fashion House GmbH'],"['i-880046', 'i-880047', 'i-880048', 'i-880049']","['iPad Pro', 'iPad Pro', 'iPad Pro', 'iPad mini']",,
pick_i-880034,2023-04-07 15:16:39+00:00,pick item,,,['i-880034'],['iPhone 8'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-880044,2023-04-07 15:50:08+00:00,item out of stock,,,['i-880044'],['iPhone X'],['Benedikt Knopp'],
pick_i-880047,2023-04-07 16:23:51+00:00,pick item,,,['i-880047'],['iPad Pro'],['Marco Pegoraro'],
pick_i-880048,2023-04-07 16:23:51+00:00,pick item,,,['i-880048'],['iPad Pro'],['Marco Pegoraro'],
pick_i-880049,2023-04-07 18:37:11+00:00,pick item,,,['i-880049'],['iPad mini'],['Detlef Wetzeler'],
pick_i-880046,2023-04-07 18:37:11+00:00,pick item,,,['i-880046'],['iPad Pro'],['Benedikt Knopp'],
reorder_i-880038,2023-04-07 18:40:17+00:00,reorder item,,,['i-880038'],['Kindle Paperwhite'],['Marco Pegoraro'],
place_o-990014,2023-04-07 18:41:21+00:00,place order,['o-990014'],['Eastern Oak Insurance Zrt.'],"['i-880050', 'i-880051', 'i-880052']","['Echo Show 5', 'Fire Stick', 'Echo Show 5']",,
confirm_o-990009,2023-04-07 18:56:27+00:00,confirm order,['o-990009'],['Riviera Robotics SAS'],"['i-880025', 'i-880026', 'i-880027', 'i-880028', 'i-880029', 'i-880030', 'i-880031']","['iPhone 11 Pro', 'iPad Pro', 'Echo Plus', 'Echo', 'Echo Show 5', 'Fire Stick', 'Echo Studio']",['Istvan Koren'],
pick_i-880051,2023-04-07 20:54:41+00:00,pick item,,,['i-880051'],['Fire Stick'],['Marco Pegoraro'],
reorder_i-880044,2023-04-07 21:23:28+00:00,reorder item,,,['i-880044'],['iPhone X'],['Nina Graves'],
pick_i-880038,2023-04-07 22:00:17+00:00,pick item,,,['i-880038'],['Kindle Paperwhite'],['Benedikt Knopp'],
out_of_stock_i-880040,2023-04-07 22:46:48+00:00,item out of stock,,,['i-880040'],['iPhone 11'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-880042,2023-04-07 22:46:48+00:00,item out of stock,,,['i-880042'],['Echo Show 8'],['Nina Graves'],
confirm_o-990010,2023-04-07 23:53:19+00:00,confirm order,['o-990010'],['Celtica Green Farms Oy'],"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['Fire Stick', 'iPhone 11', 'iPhone 8', 'Kindle']",['Istvan Koren'],
pick_i-880044,2023-04-08 00:43:28+00:00,pick item,,,['i-880044'],['iPhone X'],['Leah Tacke genannt Unterberg'],
create_p-660001,2023-04-08 01:00:00+00:00,create package,,,"['i-880010', 'i-880013', 'i-880012', 'i-880014', 'i-880015', 'i-880011']","['Fire Stick 4K', 'Fire Stick 4K', 'iPad Air', 'iPhone 11 Pro', 'Echo', 'iPad mini']",['Nina Graves'],['p-660001']
confirm_o-990011,2023-04-08 04:23:37+00:00,confirm order,['o-990011'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880036', 'i-880037', 'i-880038']","['MacBook Pro', 'Echo Studio', 'Kindle Paperwhite']",['Wil van der Aalst'],
send_p-660001,2023-04-08 06:00:00+00:00,send package,,,"['i-880010', 'i-880013', 'i-880012', 'i-880014', 'i-880015', 'i-880011']","['Fire Stick 4K', 'Fire Stick 4K', 'iPad Air', 'iPhone 11 Pro', 'Echo', 'iPad mini']","['Yisong Zhang', 'Christopher Schwanen']",['p-660001']
pay_o-990008,2023-04-08 08:01:49+00:00,pay order,['o-990008'],,"['i-880023', 'i-880024']","['Fire Stick 4K', 'Fire Stick 4K']",,
pay_o-990004,2023-04-08 08:10:50+00:00,pay order,['o-990004'],,['i-880009'],['Echo'],,
out_of_stock_i-880050,2023-04-08 08:34:41+00:00,item out of stock,,,['i-880050'],['Echo Show 5'],['Christopher Schwanen'],
out_of_stock_i-880052,2023-04-08 08:34:41+00:00,item out of stock,,,['i-880052'],['Echo Show 5'],['Benedikt Knopp'],
reorder_i-880040,2023-04-08 15:26:48+00:00,reorder item,,,['i-880040'],['iPhone 11'],['Mahsa Bafrani'],
reorder_i-880042,2023-04-08 15:26:48+00:00,reorder item,,,['i-880042'],['Echo Show 8'],['Mahsa Bafrani'],
reminder_o-990010_3,2023-04-08 16:33:19+00:00,payment reminder,['o-990010'],,"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['Fire Stick', 'iPhone 11', 'iPhone 8', 'Kindle']",,
pay_o-990011,2023-04-08 18:16:57+00:00,pay order,['o-990011'],,"['i-880036', 'i-880037', 'i-880038']","['MacBook Pro', 'Echo Studio', 'Kindle Paperwhite']",,
confirm_o-990012,2023-04-08 19:36:48+00:00,confirm order,['o-990012'],['SwissPeak Timepieces AG'],"['i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPhone 8', 'iPhone 11', 'Echo Dot', 'Echo Show 8', 'MacBook Pro', 'iPhone X', 'Echo Show 5']",['Jan Niklas Adams'],
reorder_i-880050,2023-04-08 19:41:21+00:00,reorder item,,,['i-880050'],['Echo Show 5'],['Nina Graves'],
pay_o-990009,2023-04-08 22:43:07+00:00,pay order,['o-990009'],,"['i-880025', 'i-880026', 'i-880027', 'i-880028', 'i-880029', 'i-880030', 'i-880031']","['iPhone 11 Pro', 'iPad Pro', 'Echo Plus', 'Echo', 'Echo Show 5', 'Fire Stick', 'Echo Studio']",,
confirm_o-990013,2023-04-09 00:53:51+00:00,confirm order,['o-990013'],['Vesta Fashion House GmbH'],"['i-880046', 'i-880047', 'i-880048', 'i-880049']","['iPad Pro', 'iPad Pro', 'iPad Pro', 'iPad mini']",['Istvan Koren'],
reorder_i-880052,2023-04-09 01:14:41+00:00,reorder item,,,['i-880052'],['Echo Show 5'],['Christopher Schwanen'],
pick_i-880040,2023-04-09 01:26:48+00:00,pick item,,,['i-880040'],['iPhone 11'],['Nina Graves'],
pick_i-880042,2023-04-09 01:26:48+00:00,pick item,,,['i-880042'],['Echo Show 8'],['Benedikt Knopp'],
confirm_o-990014,2023-04-09 05:24:41+00:00,confirm order,['o-990014'],['Eastern Oak Insurance Zrt.'],"['i-880050', 'i-880051', 'i-880052']","['Echo Show 5', 'Fire Stick', 'Echo Show 5']",['Mara Nitschke'],
pick_i-880050,2023-04-09 05:41:21+00:00,pick item,,,['i-880050'],['Echo Show 5'],['Benedikt Knopp'],
pay_o-990012,2023-04-09 09:30:08+00:00,pay order,['o-990012'],,"['i-880039', 'i-880040', 'i-880041', 'i-880042', 'i-880043', 'i-880044', 'i-880045']","['iPhone 8', 'iPhone 11', 'Echo Dot', 'Echo Show 8', 'MacBook Pro', 'iPhone X', 'Echo Show 5']",,
pick_i-880052,2023-04-09 11:14:41+00:00,pick item,,,['i-880052'],['Echo Show 5'],['Christopher Schwanen'],
place_o-990015,2023-04-09 14:15:59+00:00,place order,['o-990015'],['Vesta Fashion House GmbH'],"['i-880053', 'i-880054', 'i-880055', 'i-880056', 'i-880057']","['iPhone 8', 'iPad Pro', 'Kindle Paperwhite', 'Echo Dot', 'MacBook Pro']",,
pay_o-990013,2023-04-09 14:47:11+00:00,pay order,['o-990013'],,"['i-880046', 'i-880047', 'i-880048', 'i-880049']","['iPad Pro', 'iPad Pro', 'iPad Pro', 'iPad mini']",,
pick_i-880053,2023-04-09 16:29:19+00:00,pick item,,,['i-880053'],['iPhone 8'],['Marco Pegoraro'],
pick_i-880057,2023-04-09 16:29:19+00:00,pick item,,,['i-880057'],['MacBook Pro'],['Christopher Schwanen'],
pick_i-880054,2023-04-09 18:42:39+00:00,pick item,,,['i-880054'],['iPad Pro'],['Christopher Schwanen'],
pick_i-880055,2023-04-09 18:42:39+00:00,pick item,,,['i-880055'],['Kindle Paperwhite'],['Nina Graves'],
out_of_stock_i-880056,2023-04-09 21:12:39+00:00,item out of stock,,,['i-880056'],['Echo Dot'],['Benedikt Knopp'],
fail_p-660001_1,2023-04-09 23:40:00+00:00,failed delivery,,,"['i-880010', 'i-880013', 'i-880012', 'i-880014', 'i-880015', 'i-880011']","['Fire Stick 4K', 'Fire Stick 4K', 'iPad Air', 'iPhone 11 Pro', 'Echo', 'iPad mini']",['Yisong Zhang'],['p-660001']
reorder_i-880056,2023-04-10 08:19:19+00:00,reorder item,,,['i-880056'],['Echo Dot'],['Leah Tacke genannt Unterberg'],
pay_o-990014,2023-04-10 09:11:21+00:00,pay order,['o-990014'],,"['i-880050', 'i-880051', 'i-880052']","['Echo Show 5', 'Fire Stick', 'Echo Show 5']",,
place_o-990016,2023-04-10 11:37:17+00:00,place order,['o-990016'],['Celtica Green Farms Oy'],"['i-880058', 'i-880059', 'i-880060', 'i-880061', 'i-880062']","['MacBook Air', 'iPad Air', 'Kindle Paperwhite', 'Kindle', 'iPad']",,
create_p-660002,2023-04-10 13:50:37+00:00,create package,,,"['i-880007', 'i-880005', 'i-880006', 'i-880031', 'i-880030', 'i-880027', 'i-880028', 'i-880026', 'i-880029', 'i-880025', 'i-880008']","['Echo Plus', 'iPhone X', 'MacBook Air', 'Echo Studio', 'Fire Stick', 'Echo Plus', 'Echo', 'iPad Pro', 'Echo Show 5', 'iPhone 11 Pro', 'Echo Show 5']",['Nina Graves'],['p-660002']
pick_i-880061,2023-04-10 13:50:37+00:00,pick item,,,['i-880061'],['Kindle'],['Detlef Wetzeler'],
pick_i-880062,2023-04-10 13:50:37+00:00,pick item,,,['i-880062'],['iPad'],['Nina Graves'],
pick_i-880059,2023-04-10 13:50:37+00:00,pick item,,,['i-880059'],['iPad Air'],['Mahsa Bafrani'],
pick_i-880060,2023-04-10 13:50:37+00:00,pick item,,,['i-880060'],['Kindle Paperwhite'],['Marco Pegoraro'],
pick_i-880058,2023-04-10 13:50:37+00:00,pick item,,,['i-880058'],['MacBook Air'],['Christopher Schwanen'],
pick_i-880056,2023-04-10 14:59:19+00:00,pick item,,,['i-880056'],['Echo Dot'],['Benedikt Knopp'],
pay_o-990010,2023-04-10 15:46:39+00:00,pay order,['o-990010'],,"['i-880032', 'i-880033', 'i-880034', 'i-880035']","['Fire Stick', 'iPhone 11', 'iPhone 8', 'Kindle']",,
place_o-990017,2023-04-10 16:34:53+00:00,place order,['o-990017'],['Nordica Systems GmbH'],"['i-880063', 'i-880064']","['Echo Show 5', 'Fire Stick 4K']",,
pick_i-880064,2023-04-10 18:48:13+00:00,pick item,,,['i-880064'],['Fire Stick 4K'],['Benedikt Knopp'],
send_p-660002,2023-04-10 18:50:37+00:00,send package,,,"['i-880007', 'i-880005', 'i-880006', 'i-880031', 'i-880030', 'i-880027', 'i-880028', 'i-880026', 'i-880029', 'i-880025', 'i-880008']","['Echo Plus', 'iPhone X', 'MacBook Air', 'Echo Studio', 'Fire Stick', 'Echo Plus', 'Echo', 'iPad Pro', 'Echo Show 5', 'iPhone 11 Pro', 'Echo Show 5']","['Eduardo Goulart Rocha', 'Christopher Schwanen']",['p-660002']
place_o-990018,2023-04-10 23:25:17+00:00,place order,['o-990018'],['SwissPeak Timepieces AG'],"['i-880065', 'i-880066', 'i-880067', 'i-880068']","['Echo Studio', 'iPhone 11 Pro', 'Fire Stick 4K', 'Kindle Paperwhite']",,
out_of_stock_i-880063,2023-04-10 23:31:33+00:00,item out of stock,,,['i-880063'],['Echo Show 5'],['Detlef Wetzeler'],
confirm_o-990015,2023-04-11 00:59:19+00:00,confirm order,['o-990015'],['Vesta Fashion House GmbH'],"['i-880053', 'i-880054', 'i-880055', 'i-880056', 'i-880057']","['iPhone 8', 'iPad Pro', 'Kindle Paperwhite', 'Echo Dot', 'MacBook Pro']",['Jan Niklas Adams'],
pick_i-880067,2023-04-11 01:38:37+00:00,pick item,,,['i-880067'],['Fire Stick 4K'],['Christopher Schwanen'],
pick_i-880065,2023-04-11 01:38:37+00:00,pick item,,,['i-880065'],['Echo Studio'],['Marco Pegoraro'],
pick_i-880068,2023-04-11 01:38:37+00:00,pick item,,,['i-880068'],['Kindle Paperwhite'],['Leah Tacke genannt Unterberg'],
reorder_i-880063,2023-04-11 05:04:53+00:00,reorder item,,,['i-880063'],['Echo Show 5'],['Detlef Wetzeler'],
out_of_stock_i-880066,2023-04-11 06:21:57+00:00,item out of stock,,,['i-880066'],['iPhone 11 Pro'],['Nina Graves'],
pick_i-880063,2023-04-11 11:44:53+00:00,pick item,,,['i-880063'],['Echo Show 5'],['Leah Tacke genannt Unterberg'],
reorder_i-880066,2023-04-11 11:55:17+00:00,reorder item,,,['i-880066'],['iPhone 11 Pro'],['Christopher Schwanen'],
place_o-990019,2023-04-11 12:24:07+00:00,place order,['o-990019'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880069', 'i-880070', 'i-880071']","['Echo', 'iPad Air', 'iPad mini']",,
create_p-660003,2023-04-11 14:37:27+00:00,create package,,,"['i-880003', 'i-880001', 'i-880002']","['iPad Pro', 'iPad mini', 'iPad Air']",['Mahsa Bafrani'],['p-660003']
pick_i-880071,2023-04-11 14:37:27+00:00,pick item,,,['i-880071'],['iPad mini'],['Mahsa Bafrani'],
pick_i-880069,2023-04-11 14:37:27+00:00,pick item,,,['i-880069'],['Echo'],['Nina Graves'],
pick_i-880070,2023-04-11 14:37:27+00:00,pick item,,,['i-880070'],['iPad Air'],['Benedikt Knopp'],
pay_o-990015,2023-04-11 14:52:39+00:00,pay order,['o-990015'],,"['i-880053', 'i-880054', 'i-880055', 'i-880056', 'i-880057']","['iPhone 8', 'iPad Pro', 'Kindle Paperwhite', 'Echo Dot', 'MacBook Pro']",,
place_o-990020,2023-04-11 17:08:33+00:00,place order,['o-990020'],['Iberian Sun Solaridades SA'],"['i-880072', 'i-880073', 'i-880074', 'i-880075']","['Echo Plus', 'Kindle', 'Echo', 'Echo Plus']",,
deliver_p-660001,2023-04-11 17:20:00+00:00,package delivered,,,"['i-880010', 'i-880013', 'i-880012', 'i-880014', 'i-880015', 'i-880011']","['Fire Stick 4K', 'Fire Stick 4K', 'iPad Air', 'iPhone 11 Pro', 'Echo', 'iPad mini']",['Yisong Zhang'],['p-660001']
pick_i-880066,2023-04-11 18:35:17+00:00,pick item,,,['i-880066'],['iPhone 11 Pro'],['Leah Tacke genannt Unterberg'],
create_p-660004,2023-04-11 19:21:53+00:00,create package,,,"['i-880016', 'i-880073', 'i-880072', 'i-880075', 'i-880017']","['Kindle Paperwhite', 'Kindle', 'Echo Plus', 'Echo Plus', 'Kindle Paperwhite']",['Mahsa Bafrani'],['p-660004']
create_p-660005,2023-04-11 19:21:53+00:00,create package,,,['i-880004'],['Fire Stick 4K'],['Leah Tacke genannt Unterberg'],['p-660005']
pick_i-880073,2023-04-11 19:21:53+00:00,pick item,,,['i-880073'],['Kindle'],['Mahsa Bafrani'],
pick_i-880072,2023-04-11 19:21:53+00:00,pick item,,,['i-880072'],['Echo Plus'],['Christopher Schwanen'],
pick_i-880075,2023-04-11 19:21:53+00:00,pick item,,,['i-880075'],['Echo Plus'],['Leah Tacke genannt Unterberg'],
send_p-660003,2023-04-11 19:37:27+00:00,send package,,,"['i-880003', 'i-880001', 'i-880002']","['iPad Pro', 'iPad mini', 'iPad Air']","['Alessandro Berti', 'Christopher Schwanen']",['p-660003']
